OID_,CLASS_NAME,SUM_AREA,MERGE_SRC
0,Glacier,6367812.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_59_55_1960_classified_vec2
1,Land,14021894,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_59_55_1960_classified_vec2
2,Water,4610293.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_59_55_1960_classified_vec2
3,Glacier,7029693.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_00_1960_classified_vec1
4,Land,17970306.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_00_1960_classified_vec1
5,Glacier,1618188.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_05_1960_classified_vec1
6,Land,23381811.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_05_1960_classified_vec1
7,Glacier,6489410.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_50_1960_classified_vec1
8,Land,18510589.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_50_1960_classified_vec1
9,Glacier,17928717.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_55_1960_classified_vec1
10,Land,7071282.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_60_55_1960_classified_vec1
11,Glacier,18198984.5,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_61_50_1960_classified_vec1
12,Land,6801015.5,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_61_50_1960_classified_vec1
13,Glacier,3721688.5,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_05_1960_classified_vec
14,Land,21278311.5,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_05_1960_classified_vec
15,Glacier,5201284.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_50_1960_classified_vec
16,Land,19798715.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_50_1960_classified_vec
17,Glacier,12624205.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_55_1960_classified_vec
18,Land,12375794.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_46_62_55_1960_classified_vec
19,Glacier,13201043.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_47_59_05_1960_classified_vec1
20,Land,11798956.75,C:\TEMP\Emma\project\glaciers.gdb\area__1960_47_59_05_1960_classified_vec1
21,Glacier,15348789.25,C:\TEMP\Emma\project\glaciers.gdb\area__1960_47_60_00_1960_classified_vec1
